Boot Entry,Iteration:  1 ,Iteration:  2 ,Iteration:  3 ,Iteration:  4 ,Iteration:  5 
        ,time elapsed in ss.ms.us : 00.000.123 ,time elapsed in ss.ms.us : 00.000.123 ,time elapsed in ss.ms.us : 00.000.123 ,time elapsed in ss.ms.us : 00.000.123 ,time elapsed in ss.ms.us : 00.000.124 
        ,                                         ,                                         ,                                         ,                                         ,                                         
TBL_PCIE_INIT,boot entry type : 11 ,boot entry type : 11 ,boot entry type : 11 ,boot entry type : 11 ,boot entry type : 11 
        ,start time : 00:00:00.076.051  ,start time : 00:00:00.076.080  ,start time : 00:00:00.076.128  ,start time : 00:00:00.076.124  ,start time : 00:00:00.076.168  
        ,time elapsed in ss.ms.us : 00.002.865 ,time elapsed in ss.ms.us : 00.002.809 ,time elapsed in ss.ms.us : 00.002.809 ,time elapsed in ss.ms.us : 00.002.809 ,time elapsed in ss.ms.us : 00.002.864 
        ,                                         ,                                         ,                                         ,                                         ,                                         
TBL_LOAD_PBL_IMAGE,boot entry type : 12 ,boot entry type : 12 ,boot entry type : 12 ,boot entry type : 12 ,boot entry type : 12 
        ,start time : 00:00:00.078.917  ,start time : 00:00:00.078.891  ,start time : 00:00:00.078.938  ,start time : 00:00:00.078.935  ,start time : 00:00:00.079.033  
        ,time elapsed in ss.ms.us : 00.048.710 ,time elapsed in ss.ms.us : 00.048.710 ,time elapsed in ss.ms.us : 00.048.709 ,time elapsed in ss.ms.us : 00.048.710 ,time elapsed in ss.ms.us : 00.048.709 
        ,                                         ,                                         ,                                         ,                                         ,                                         
TBL_RIOT,boot entry type : 13 ,boot entry type : 13 ,boot entry type : 13 ,boot entry type : 13 ,boot entry type : 13 
        ,start time : 00:00:00.127.628  ,start time : 00:00:00.127.601  ,start time : 00:00:00.127.648  ,start time : 00:00:00.127.645  ,start time : 00:00:00.127.743  
        ,time elapsed in ss.ms.us : 00.001.513 ,time elapsed in ss.ms.us : 00.001.512 ,time elapsed in ss.ms.us : 00.001.513 ,time elapsed in ss.ms.us : 00.001.514 ,time elapsed in ss.ms.us : 00.001.513 
        ,                                         ,                                         ,                                         ,                                         ,                                         
TBL_PRETOTAL,boot entry type : 14 ,boot entry type : 14 ,boot entry type : 14 ,boot entry type : 14 ,boot entry type : 14 
        ,start time : 00:00:00.072.129  ,start time : 00:00:00.072.159  ,start time : 00:00:00.072.210  ,start time : 00:00:00.072.200  ,start time : 00:00:00.072.242  
        ,time elapsed in ss.ms.us : 00.000.143 ,time elapsed in ss.ms.us : 00.000.143 ,time elapsed in ss.ms.us : 00.000.143 ,time elapsed in ss.ms.us : 00.000.143 ,time elapsed in ss.ms.us : 00.000.143 
        ,                                         ,                                         ,                                         ,                                         ,                                         
TBL_TOTAL,boot entry type : 15 ,boot entry type : 15 ,boot entry type : 15 ,boot entry type : 15 ,boot entry type : 15 
        ,start time : 00:00:00.072.632  ,start time : 00:00:00.072.661  ,start time : 00:00:00.072.709  ,start time : 00:00:00.072.704  ,start time : 00:00:00.072.747  
        ,time elapsed in ss.ms.us : 00.056.653 ,time elapsed in ss.ms.us : 00.056.596 ,time elapsed in ss.ms.us : 00.056.595 ,time elapsed in ss.ms.us : 00.056.599 ,time elapsed in ss.ms.us : 00.056.652 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_SPI_INIT,boot entry type : 16 ,boot entry type : 16 ,boot entry type : 16 ,boot entry type : 16 ,boot entry type : 16 
        ,start time : 00:00:00.129.258  ,start time : 00:00:00.129.231  ,start time : 00:00:00.129.278  ,start time : 00:00:00.129.276  ,start time : 00:00:00.129.373  
        ,time elapsed in ss.ms.us : 00.000.062 ,time elapsed in ss.ms.us : 00.000.062 ,time elapsed in ss.ms.us : 00.000.062 ,time elapsed in ss.ms.us : 00.000.062 ,time elapsed in ss.ms.us : 00.000.062 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_PARSE_FCONFIG,boot entry type : 17 ,boot entry type : 17 ,boot entry type : 17 ,boot entry type : 17 ,boot entry type : 17 
        ,start time : 00:00:00.129.446  ,start time : 00:00:00.129.417  ,start time : 00:00:00.129.465  ,start time : 00:00:00.129.464  ,start time : 00:00:00.129.560  
        ,time elapsed in ss.ms.us : 00.000.066 ,time elapsed in ss.ms.us : 00.000.066 ,time elapsed in ss.ms.us : 00.000.066 ,time elapsed in ss.ms.us : 00.000.066 ,time elapsed in ss.ms.us : 00.000.066 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_PMIC_INIT,boot entry type : 18 ,boot entry type : 18 ,boot entry type : 18 ,boot entry type : 18 ,boot entry type : 18 
        ,start time : 00:00:00.129.512  ,start time : 00:00:00.129.484  ,start time : 00:00:00.129.532  ,start time : 00:00:00.129.530  ,start time : 00:00:00.129.626  
        ,time elapsed in ss.ms.us : 00.014.064 ,time elapsed in ss.ms.us : 00.014.062 ,time elapsed in ss.ms.us : 00.014.063 ,time elapsed in ss.ms.us : 00.014.063 ,time elapsed in ss.ms.us : 00.014.064 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_DRAM_INIT,boot entry type : 19 ,boot entry type : 19 ,boot entry type : 19 ,boot entry type : 19 ,boot entry type : 19 
        ,start time : 00:00:00.143.577  ,start time : 00:00:00.143.547  ,start time : 00:00:00.143.596  ,start time : 00:00:00.143.595  ,start time : 00:00:00.143.691  
        ,time elapsed in ss.ms.us : 00.043.820 ,time elapsed in ss.ms.us : 00.043.815 ,time elapsed in ss.ms.us : 00.043.822 ,time elapsed in ss.ms.us : 00.043.816 ,time elapsed in ss.ms.us : 00.043.812 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_SCRUB_MAINFW_DRAM,boot entry type : 20 ,boot entry type : 20 ,boot entry type : 20 ,boot entry type : 20 ,boot entry type : 20 
        ,start time : 00:00:00.187.398  ,start time : 00:00:00.187.363  ,start time : 00:00:00.187.419  ,start time : 00:00:00.187.411  ,start time : 00:00:00.187.504  
        ,time elapsed in ss.ms.us : 00.046.667 ,time elapsed in ss.ms.us : 00.046.668 ,time elapsed in ss.ms.us : 00.046.667 ,time elapsed in ss.ms.us : 00.046.667 ,time elapsed in ss.ms.us : 00.046.667 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_CRYPTO_INIT,boot entry type : 21 ,boot entry type : 21 ,boot entry type : 21 ,boot entry type : 21 ,boot entry type : 21 
        ,start time : 00:00:00.239.252  ,start time : 00:00:00.239.217  ,start time : 00:00:00.239.272  ,start time : 00:00:00.239.266  ,start time : 00:00:00.239.358  
        ,time elapsed in ss.ms.us : 00.003.312 ,time elapsed in ss.ms.us : 00.003.315 ,time elapsed in ss.ms.us : 00.003.312 ,time elapsed in ss.ms.us : 00.003.313 ,time elapsed in ss.ms.us : 00.003.314 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_NAND_INIT,boot entry type : 22 ,boot entry type : 22 ,boot entry type : 22 ,boot entry type : 22 ,boot entry type : 22 
        ,start time : 00:00:00.242.564  ,start time : 00:00:00.242.532  ,start time : 00:00:00.242.585  ,start time : 00:00:00.242.579  ,start time : 00:00:00.242.672  
        ,time elapsed in ss.ms.us : 00.029.901 ,time elapsed in ss.ms.us : 00.029.909 ,time elapsed in ss.ms.us : 00.029.929 ,time elapsed in ss.ms.us : 00.029.874 ,time elapsed in ss.ms.us : 00.029.960 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_LOAD_MAIN_FW,boot entry type : 23 ,boot entry type : 23 ,boot entry type : 23 ,boot entry type : 23 ,boot entry type : 23 
        ,start time : 00:00:00.272.488  ,start time : 00:00:00.272.463  ,start time : 00:00:00.272.536  ,start time : 00:00:00.272.475  ,start time : 00:00:00.272.655  
        ,time elapsed in ss.ms.us : 00.221.084 ,time elapsed in ss.ms.us : 00.220.866 ,time elapsed in ss.ms.us : 00.221.145 ,time elapsed in ss.ms.us : 00.221.040 ,time elapsed in ss.ms.us : 00.220.874 
        ,                                         ,                                         ,                                         ,                                         ,                                         
PBL_RIOT,boot entry type : 24 ,boot entry type : 24 ,boot entry type : 24 ,boot entry type : 24 ,boot entry type : 24 
